signal,fragment
"Lil Uzi Vert, XXXTentacion, Lil Peep, Juice WRLD, 24kGoldn",crying-emoji-rap
My Chemical Romance,hello-there
"Boston, Chicago, Alabama, Kansas",dad-rock-with-map-location-names
The Beatles,"beatlemania
st.-pepper's-lonely-walrus-on-abbey-road-club
shaggy-bowl-cuts"
"The Beatles, The Rolling Stones, The Who, The Monkies","british-invasion
pip-pip-cheerio
union-jack-attack"
Justin Timberlake,"trolls-movie-paycheck
gonna-be-may
frosted-ramen-hair
fo-shizzle-fo-shizzle"
"Gucci Mane, Ludacris, Killer Mike, Big Boi, Andre 3000, Outkast, 21 Savage, T.I., Lil Jon, Jeezy, Future, 2 Chainz, Jeezy, Lil Baby, Playboy Carti, Latto, Jermaine Dupri, B.o.B., Yung Joc, Lil Yachty, Waka Flocka Flame, Soulja Boy, Quavo, Lisa ""Left Eye"" Lopes ","from-the-a
ATL-liens"
"Outkast, Slim Thug, Paul Wall, Mike Jones, T.I., Ludacris, Bubba Sparxxx, Lil Jon, Gucci Mane, Young Jeezy, Trick Daddy, Rick Ross, Master P, Lil Wayne, Juvenile, Three 6 Mafia, Yo Gotti, Young Buck, Nelly, Chingy, Ying Yang Twins, Big Freedia, UGK, Nappy Roots ","dirty-south
country-boyz
cornrows-and-collard-greens
kings-of-crunk"
Big Freedia,"queen-of-bounce
bringing-people-together-through-the-power-of-ass"
Nelly,"band-aid-under-the-eye
lemme-see-your-grill
nelly-and-ashanti-foreva
st-lunatics"
Vampire Weekend,"went-to-columbia
glasslands-to-MSG
nepo-baby"
OK Go,"one-take-music-videos
here-it-goes-again
video-game-music-without-the-video-games"
"Papa Roach, Anthrax, Rage Against The Machine, Bad Religion, Powerman 5000, Dead Kennedys, Primus,The Vandals",tony-hawk-pro-skater-sound-track
"Quad City DJs, Tag Team, 69 Boyz, C & C Music Factory, SNAP!, M/A/R/R/S, Technotronic","jock-jams
high-school-basketball-warm-ups
space-jam"
"Joan Baez, Creedence Clearwater Revival, Bob Dylan, The Mamas & The Papas, The Doors, Jefferson Airplane, The Byrds, The Doobie Brothers, Fleetwood Mac, Bob Seger, Pete Seeger, John Lennon, Yoko Ono, Willie Nelson, Grand Funk Railroad, Phil Ochs","forest-gump-sound-track
make-love-not-war"
Lenny Kravitz,"middle-age-leather-pants-deep-unbuttoned-shirt-and-tats
may-the-odds-be-ever-in-your-favor-rock"
"Lenny Kravitz, Ricky Martin, Drake",zaddy-material
"Ricky Martin, Enrique Iglesias, Marc Anthony, Bad Bunny",ay-papi
"Marc Russo, Jerry Martin, Kirk Casey, Dix Bruce","hunger-meters-running-low-better-eat
making-video-game-characters-do-lewd-acts
dressed-as-a-plumbob-for-halloween
used-duolingo-to-learn-simlish"
"Prince, Bruno Mars, Janelle Monae",pint-size-pompadour
Chamillionaire,ridin-dirty-filthy-uncouth
