signal,fragment,Notes,discards
"Simon and Garfunkel, Leo Kottke, James Taylor, Jim Croce","acoustic-boomer
boomer-with-feelings
sad-dad",,
"Cher, RuPaul, Madonna, Tina Turner, Gloria Gaynor",drag-queen-brunch,,
"Chuck Berry, Buddy Holly, Roy Orbison, Little Richard","rockabilly
pompadour
greaser
stuck-in-the-fifties",,
Elvis,"elvis-isnt-dead
endless-graceland-tour",,
The Doors,"dry-humping-jim-morrisons-grave
jim-morrison-stan",,
"Pink Floyd, The Doors, Jimi Hendrix, Jefferson Airplane, Cream, Love, The Zombies, Parson Sound, Blue Cheer, High Tide, Amon Duul, The Red Krayola, The Orkustra, High Tide, Baby Grandmothers, Iron Butterfly, Grateful Dead, Moby Grape, Strawberry Alarm Clock, Blues Magoos, The Chocolate Watchband","60s-acid-flashback
nag-champa
boomer-acid-flashback",,
"The Ramones, The Sex Pistols, Crass, Sham 69, The Cramps, The Germs, X-Ray Specs, Middle Class, The Adverts, The Damned, The Buzzcocks, The Misfits, Stiff Little Fingers, The Clash, The Saints, The Screamers, The Undertones, The Jam, The Stooges","studded-leather-jacket
punk-with-grandchildren
",,
"Joy Division, The Cure, Pere Ubu, Devo, Talking Heads, Gang of Four, The Slits, The Fall, The Heat, The Raincoats, Siouxse and the Banshees","heavy-eyeliner-post-punk
sitting-alone-in-the-cafeteria",,
"Black Flag, Fang, Bad Brains, Dead Milkmen, Cro-Mags, Minor Threat, Dead Kennedys, Circle Jerks, Minutement, Bad Religion, Agent Orange, The Adicts, Husker Du, Subhumans, FEAR, X, Agnostic Front, The Misfits, Social Distortion, The Gun Club, Neurosis, Melvins, Meat Puppets, Screeching Weasel, Rites of Spring, Dag Nasty","80s-punk
14-year-old-who-just-discovered-punk",,
Weezer,"balding-weezer-fan
only-wears-converse-allstars
pinkerton-was-their-best-album",,
Sublime,stoner-frat-bro,,
"Gas, Hazard, DJ Olive, Robert Rich, Stars Of The Lid, Tim Hecker, William Basinski, Sogar, DJ Olive, Fourcolor, Taylor Dupree, Miniamo, Sebastien Roux, Carl Michael Von Hausswolff, Machinefabriek, Giuseppe IeIasI, Celer, David Tagg, Imaginary Softwood, Milleu, Celer, David Tagg, Lawrence English, Infinite Body, Loscil, Mika Vainio, Stephan Mathieu","chiiiiiiiiiiiiiiiiil
so-ambient-its-barely-music
ambient",,
Smash Mouth,"shape-of-an-l-on-her-forehead
shrek-soundtrack",,
"Sarah McLachlan, Sheryl Crow, Jewel, Paula Cole, Suzanne Vega, Lisa Loeb, Indigo Girls, Natalie Merchant",lilith-fair-mainstage,,
Sarah McLachlan,ASPCA-commercial,,
"""Weird Al"" Yankovic","dad-jokes
parody-song",,
"*NSYNC, Backstreet Boys, 98 Degrees, O-Town, Hanson, New Kids On The Block","tiger-beat
20th-century-teeny-bopper",,
"Johnny Cash, Hank Williams, Carter Family, Loretta Lynn, Merle Haggard, George Jones, Roger Miller, Patsy Cline, Jimmie Rodgers","grand-ole-opry
moonshine",,
